Date Live,Game ID,Grid Key,Answer Key,QA Link,Name,DB status,TS Difficulty Rating,Size,Dupe?,QA?,Notes,Win Rate Overall,New Player Win Rate,India WR,India NPWR
5/1,1,"[2, 2, 0, 0, 0, 4, 4, 4, 2, 7, 0, 7, 0, 1, 4, 4, 2, 7, 0, 7, 0, 4, 4, 4, 2, 7, 7, 7, 0, 3, 5, 4, 2, 7, 7, 7, 0, 3, 5, 5, 2, 7, 6, 7, 0, 3, 5, 5, 6, 7, 6, 7, 0, 3, 3, 5, 6, 6, 6, 6, 5, 5, 5, 5]","[3, 13, 17, 31, 32, 42, 54, 60]",https://www.linkedin.com/games/queens/?puzzleId=1,"""Welcome to Queens"" ",DB Game is good,Easy,8x8,Unique,,,,,,
5/2,2,"[6, 6, 6, 6, 6, 6, 8, 8, 8, 6, 6, 6, 6, 6, 6, 6, 6, 7, 6, 0, 0, 0, 1, 6, 6, 6, 7, 6, 6, 6, 6, 1, 6, 6, 6, 7, 6, 6, 6, 6, 1, 6, 6, 6, 6, 6, 6, 6, 6, 6, 3, 3, 3, 6, 6, 6, 6, 6, 6, 6, 2, 2, 2, 6, 6, 4, 4, 4, 6, 6, 6, 6, 6, 5, 5, 5, 6, 6, 6, 6, 6]","[6, 17, 20, 31, 36, 50, 61, 66, 73]",https://www.linkedin.com/games/queens/?puzzleId=2,"""Block Party""",DB Game is good,Easy,9x9,Unique,,,,,,
5/3,3,"[2, 6, 6, 6, 3, 6, 6, 4, 2, 2, 2, 6, 3, 3, 6, 4, 6, 6, 6, 6, 6, 3, 6, 4, 1, 1, 1, 6, 6, 6, 6, 4, 1, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 6, 6, 5, 0, 0, 6, 7, 7, 6, 5, 5, 0, 0, 6, 7, 6, 6, 6, 5]","[7, 10, 21, 27, 32, 44, 54, 57]",https://www.linkedin.com/games/queens/?puzzleId=3,"""Tetrominoes""",DB Game is good,Medium,8x8,Unique,,,,,,
5/4,4,"[4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 6, 6, 4, 4, 4, 4, 5, 5, 6, 4, 3, 3, 0, 0, 0, 6, 4, 2, 3, 3, 3, 0, 1, 4, 2, 4, 4, 1, 1, 1, 4, 2, 2, 4, 4, 4, 4, 4]","[6, 9, 19, 24, 29, 39, 42]",https://www.linkedin.com/games/queens/?puzzleId=4,"""Giant Snake""",DB Game is good,Medium,7x7,Unique,,,,,,
5/5,5,"[7, 1, 1, 1, 10, 10, 10, 10, 10, 10, 10, 7, 2, 2, 1, 1, 1, 10, 10, 10, 10, 10, 7, 2, 2, 1, 1, 10, 10, 10, 10, 10, 10, 7, 7, 7, 7, 10, 10, 10, 9, 9, 9, 9, 7, 8, 8, 5, 6, 6, 10, 10, 10, 9, 9, 7, 8, 8, 5, 6, 6, 6, 6, 6, 6, 9, 7, 8, 8, 5, 6, 6, 6, 6, 6, 6, 9, 7, 8, 8, 5, 6, 6, 4, 3, 6, 6, 9, 7, 8, 8, 5, 6, 6, 4, 3, 6, 6, 4, 0, 8, 8, 5, 6, 6, 4, 3, 6, 6, 4, 0, 0, 0, 5, 5, 4, 4, 4, 4, 4, 4]","[8, 16, 23, 36, 53, 61, 68, 84, 98, 99, 114]",https://www.linkedin.com/games/queens/?puzzleId=5,"""LinkedIn Logo""",DB Game is good,Medium-hard,11x11,Unique,,,,,,
5/6,6,"[5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 0, 4, 3, 4, 2, 4, 4, 0, 1, 1, 1, 2, 4, 4, 1, 1, 1, 1, 1, 6, 4, 4, 4, 6, 6, 6, 6]","[0, 13, 17, 22, 33, 37, 46]",https://www.linkedin.com/games/queens/?puzzleId=6,"""The Queen's Crown""",DB Game is good,Easy,7x7,Unique,,,,,,
5/7,7,"[6, 6, 6, 6, 6, 7, 7, 7, 6, 0, 0, 6, 6, 6, 6, 7, 6, 0, 1, 1, 6, 6, 6, 7, 6, 6, 6, 1, 2, 6, 6, 6, 6, 6, 6, 2, 2, 6, 4, 6, 5, 6, 6, 6, 6, 3, 4, 4, 5, 6, 6, 6, 6, 3, 3, 6, 5, 5, 5, 6, 6, 6, 6, 6]","[6, 9, 19, 24, 36, 47, 53, 58]",https://www.linkedin.com/games/queens/?puzzleId=7,"""The Bends""",DB Game is good,Easy,8x8,Unique,,,,,,
5/8,8,"[1, 1, 0, 0, 0, 0, 8, 8, 1, 0, 0, 6, 6, 0, 0, 8, 1, 0, 6, 6, 6, 6, 0, 8, 5, 0, 6, 6, 2, 6, 0, 8, 5, 0, 0, 6, 2, 2, 0, 8, 5, 5, 0, 0, 0, 2, 2, 8, 5, 5, 5, 5, 5, 3, 2, 7, 5, 5, 5, 3, 3, 3, 7, 7]","[6, 10, 16, 27, 37, 41, 55, 60]",https://www.linkedin.com/games/queens/?puzzleId=8,"""Q is for Queens""",DB Game is good,Medium,8x8,Unique,,,,,,
5/9,9,"[6, 6, 6, 3, 3, 3, 2, 4, 4, 6, 6, 6, 6, 3, 3, 2, 2, 4, 6, 6, 6, 6, 6, 3, 3, 2, 1, 0, 6, 6, 6, 6, 6, 3, 2, 1, 0, 0, 6, 6, 6, 6, 6, 1, 1, 8, 0, 0, 6, 6, 6, 6, 6, 1, 8, 8, 0, 0, 6, 6, 6, 6, 6, 8, 7, 5, 0, 0, 6, 6, 6, 6, 7, 7, 5, 5, 5, 5, 6, 6, 6]","[6, 17, 23, 29, 43, 45, 57, 64, 76]",https://www.linkedin.com/games/queens/?puzzleId=9,"""Open Middle""",DB Game is good,Medium,9x9,Unique,,,,,,
5/10,10,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 8, 0, 6, 6, 6, 6, 6, 6, 6, 6, 8, 9, 9, 9, 6, 2, 2, 2, 2, 6, 8, 6, 6, 9, 9, 2, 6, 6, 4, 6, 8, 6, 6, 6, 6, 6, 6, 4, 4, 6, 8, 6, 6, 7, 7, 6, 4, 4, 6, 6, 5, 6, 6, 7, 6, 6, 3, 6, 6, 6, 5, 6, 6, 7, 6, 6, 3, 6, 6, 6, 5, 6, 6, 7, 3, 3, 3, 6, 6, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","[4, 10, 27, 33, 49, 56, 62, 75, 88, 91]",https://www.linkedin.com/games/queens/?puzzleId=10,"""The Long Path""",DB Game is good,Medium,10x10,Unique,,,,,,
